,compound,create_date,negative,neutral,news_media,positive,tweets_ago
0,0.25,2017-12-03 00:00:11+00:00,0.0,0.9,nytimes,0.1,0
1,-0.4215,2017-12-02 23:46:02+00:00,0.135,0.865,nytimes,0.0,-1
2,0.0,2017-12-02 23:36:09+00:00,0.0,1.0,nytimes,0.0,-2
3,-0.7269,2017-12-02 23:26:05+00:00,0.295,0.705,nytimes,0.0,-3
4,0.0,2017-12-02 23:16:04+00:00,0.0,1.0,nytimes,0.0,-4
5,-0.4215,2017-12-02 23:06:06+00:00,0.128,0.872,nytimes,0.0,-5
6,0.0,2017-12-02 22:56:03+00:00,0.0,1.0,nytimes,0.0,-6
7,0.4404,2017-12-02 22:46:01+00:00,0.0,0.828,nytimes,0.172,-7
8,0.296,2017-12-02 22:36:01+00:00,0.0,0.879,nytimes,0.121,-8
9,0.4754,2017-12-02 22:26:05+00:00,0.0,0.721,nytimes,0.279,-9
10,0.0,2017-12-02 22:16:02+00:00,0.0,1.0,nytimes,0.0,-10
11,0.0,2017-12-02 22:06:06+00:00,0.0,1.0,nytimes,0.0,-11
12,-0.296,2017-12-02 21:56:02+00:00,0.091,0.909,nytimes,0.0,-12
13,0.0,2017-12-02 21:46:03+00:00,0.0,1.0,nytimes,0.0,-13
14,0.0,2017-12-02 21:36:01+00:00,0.0,1.0,nytimes,0.0,-14
15,0.0,2017-12-02 21:26:06+00:00,0.0,1.0,nytimes,0.0,-15
16,-0.4019,2017-12-02 21:15:09+00:00,0.13,0.87,nytimes,0.0,-16
17,-0.5574,2017-12-02 20:59:06+00:00,0.217,0.783,nytimes,0.0,-17
18,0.6072,2017-12-02 20:41:04+00:00,0.0,0.82,nytimes,0.18,-18
19,-0.6808,2017-12-02 20:26:05+00:00,0.248,0.752,nytimes,0.0,-19
20,0.4215,2017-12-02 20:11:04+00:00,0.0,0.865,nytimes,0.135,-20
21,-0.3818,2017-12-02 19:56:02+00:00,0.14,0.86,nytimes,0.0,-21
22,-0.7351,2017-12-02 19:41:03+00:00,0.267,0.733,nytimes,0.0,-22
23,-0.3182,2017-12-02 19:31:02+00:00,0.162,0.687,nytimes,0.151,-23
24,0.6908,2017-12-02 19:21:03+00:00,0.095,0.563,nytimes,0.342,-24
25,0.0,2017-12-02 19:06:06+00:00,0.0,1.0,nytimes,0.0,-25
26,0.4019,2017-12-02 18:56:04+00:00,0.0,0.886,nytimes,0.114,-26
27,0.0,2017-12-02 18:46:02+00:00,0.0,1.0,nytimes,0.0,-27
28,0.0,2017-12-02 18:36:01+00:00,0.0,1.0,nytimes,0.0,-28
29,0.0,2017-12-02 18:21:05+00:00,0.0,1.0,nytimes,0.0,-29
30,0.0,2017-12-02 18:06:05+00:00,0.0,1.0,nytimes,0.0,-30
31,0.5859,2017-12-02 17:56:05+00:00,0.0,0.847,nytimes,0.153,-31
32,0.0,2017-12-02 17:46:01+00:00,0.0,1.0,nytimes,0.0,-32
33,0.2263,2017-12-02 17:36:07+00:00,0.0,0.84,nytimes,0.16,-33
34,0.4215,2017-12-02 17:21:03+00:00,0.0,0.877,nytimes,0.123,-34
35,0.6249,2017-12-02 17:07:36+00:00,0.0,0.823,nytimes,0.177,-35
36,-0.2732,2017-12-02 16:51:10+00:00,0.104,0.896,nytimes,0.0,-36
37,0.0,2017-12-02 16:48:14+00:00,0.0,1.0,nytimes,0.0,-37
38,0.0772,2017-12-02 16:41:04+00:00,0.0,0.944,nytimes,0.056,-38
